     29/30           29 0.00000 lexicon/abbr.kl
   5151/6665       5180 0.00000 lexicon/acronyms
  15216/18742     20396 0.00000 lexicon/actor-givenname
  31603/41728     51999 0.00000 lexicon/actor-surname
   1456/2291      53455 0.00000 lexicon/archie-sites
   5337/8121      58792 0.00000 lexicon/asteroids.kl
    931/1921      59723 0.00000 lexicon/badpw
    142/150       59865 0.00000 lexicon/biology.kl
     61/91        59926 0.00000 lexicon/cars
    219/305       60145 0.00000 lexicon/cartoon.kl
     64/387       60209 0.00000 lexicon/cartoons
    333/1136      60542 0.00000 lexicon/chars.kl
    206/798       60748 0.00000 lexicon/chinese
      0/800       60748 0.00000 lexicon/chinese.kl
    101/1679      60849 0.00000 lexicon/common-passwords.kl
     19/49        60868 0.00000 lexicon/computer-companies
 117524/169772   178392 0.00000 lexicon/crl.dic
    111/111      178503 0.00000 lexicon/digits
      7/47       178510 0.00000 lexicon/ego
  19428/30424    197938 0.00000 lexicon/etc-hosts.kl
  53941/88412    251879 0.00000 lexicon/eth
  15373/43935    267252 0.00000 lexicon/factbook
    138/898      267390 0.00000 lexicon/famous
    100/1056     267490 0.00000 lexicon/famous.kl
   1067/1688     268557 0.00000 lexicon/fantasy
   1495/4689     270052 0.00000 lexicon/fast-names.kl
   3354/10269    273406 0.00000 lexicon/female-names.kl
    211/943      273617 0.00000 lexicon/geography
      1/42       273618 0.00000 lexicon/greek
    248/794      273866 0.00000 lexicon/harvard-addr
   1519/2652     275385 0.00000 lexicon/harvard-email
   1344/5867     276729 0.00000 lexicon/harvard-givenname
   8094/16771    284823 0.00000 lexicon/harvard-surname
  21501/41665    306324 0.00000 lexicon/hosts.txt
  40179/102048   346503 0.00000 lexicon/inet-machines
    130/458      346633 0.00000 lexicon/jargon
    513/1020     347146 0.00000 lexicon/jargon.crack
   2855/5511     350001 0.00000 lexicon/jargon_2.99
   2310/18178    352311 0.00000 lexicon/junk.kl
   7896/29413    360207 0.00000 lexicon/kjbible.kl
   1510/12008    361717 0.00000 lexicon/l-carroll
   1361/7971     363078 0.00000 lexicon/male-names.kl
    184/683      363262 0.00000 lexicon/misc
  21082/57363    384344 0.00000 lexicon/movie_characters
   7851/17364    392195 0.00000 lexicon/movie_titles
    133/291      392328 0.00000 lexicon/movies.kl
     20/135      392348 0.00000 lexicon/music
   1641/3129     393989 0.00000 lexicon/myths-legends.kl
    447/835      394436 0.00000 lexicon/numbers.kl
   5943/12305    400379 0.00000 lexicon/other-names.kl
   1055/2322     401434 0.00000 lexicon/phrases.kl
    279/1637     401713 0.00000 lexicon/places.kl
   2500/48674    404213 0.00000 lexicon/pocket.dic
   1377/3621     405590 0.00000 lexicon/rsk.dict
     11/32       405601 0.00000 lexicon/sequences
     54/1765     405655 0.00000 lexicon/sf.kl
   1576/4863     407231 0.00000 lexicon/shakesp-glossary
    169/435      407400 0.00000 lexicon/shakesp-names
    401/1481     407801 0.00000 lexicon/shakespeare.kl
    175/588      407976 0.00000 lexicon/sports
      0/550      407976 0.00000 lexicon/sports.kl
      2/332      407978 0.00000 lexicon/surnames.kl
    625/2736     408603 0.00000 lexicon/ucsb-givenname
   1672/5098     410275 0.00000 lexicon/ucsb-surname
 311312/618328   721587 0.00002 lexicon/unabrd.dic
   2755/3508     724342 0.00002 lexicon/unix
 149188/249972   873530 0.00011 lexicon/usenet_loginids
  38319/91907    911849 0.00015 lexicon/usenet_machines
 101248/256616  1013097 0.00035 lexicon/usenet_names
    115/57550   1013212 0.00035 lexicon/usr-dict-words
   1179/4617    1014391 0.00036 lexicon/uunet-sites
    153/1506    1014544 0.00036 lexicon/vu-frenchname
   1602/18038   1016146 0.00036 lexicon/vu-givenname
  30266/95390   1046412 0.00045 lexicon/vu-hpname
   8578/30161   1054990 0.00048 lexicon/vu-surname
   6701/131002  1061691 0.00050 lexicon/vu.dict
  58559/317600  1120250 0.00076 lexicon/w130794
     18/616850  1120268 0.00076 lexicon/webster
   3014/4716    1123282 0.00077 lexicon/whatis
      0/895     1123282 0.00077 lexicon/words.bad
    130/61671   1123412 0.00077 lexicon/words.english
      0/913     1123412 0.00077 lexicon/wormlist
     62/155     1123474 0.00077 lexicon/yiddish.kl
  28032/51984   1151506 0.00093 lexicon/zipcodes
