     14/14           14 0.00000 lexicon/abbr.kl
   4047/4106       4061 0.00000 lexicon/acronyms
   8816/9320      12877 0.00000 lexicon/actor-givenname
  17820/19784     30697 0.00000 lexicon/actor-surname
    862/1202      31559 0.00000 lexicon/archie-sites
   2767/3745      34326 0.00000 lexicon/asteroids.kl
    450/957       34776 0.00000 lexicon/badpw
     57/59        34833 0.00000 lexicon/biology.kl
     32/47        34865 0.00000 lexicon/cars
     93/136       34958 0.00000 lexicon/cartoon.kl
     27/172       34985 0.00000 lexicon/cartoons
    417/866       35402 0.00000 lexicon/chars.kl
    189/399       35591 0.00000 lexicon/chinese
      0/400       35591 0.00000 lexicon/chinese.kl
      3/815       35594 0.00000 lexicon/common-passwords.kl
      9/25        35603 0.00000 lexicon/computer-companies
  48876/70152     84479 0.00000 lexicon/crl.dic
    111/111       84590 0.00000 lexicon/digits
      4/23        84594 0.00000 lexicon/ego
  10496/16068     95090 0.00000 lexicon/etc-hosts.kl
  37124/42440    132214 0.00000 lexicon/eth
   7309/20390    139523 0.00000 lexicon/factbook
      4/445      139527 0.00000 lexicon/famous
     46/514      139573 0.00000 lexicon/famous.kl
    553/747      140126 0.00000 lexicon/fantasy
   1002/2421     141128 0.00000 lexicon/fast-names.kl
   2605/4982     143733 0.00000 lexicon/female-names.kl
     63/408      143796 0.00000 lexicon/geography
      1/21       143797 0.00000 lexicon/greek
    136/394      143933 0.00000 lexicon/harvard-addr
    876/1371     144809 0.00000 lexicon/harvard-email
    851/2905     145660 0.00000 lexicon/harvard-givenname
   4299/7827     149959 0.00000 lexicon/harvard-surname
  11695/20964    161654 0.00000 lexicon/hosts.txt
  26036/50931    187690 0.00000 lexicon/inet-machines
     66/221      187756 0.00000 lexicon/jargon
    268/494      188024 0.00000 lexicon/jargon.crack
   1448/2902     189472 0.00000 lexicon/jargon_2.99
   1345/8146     190817 0.00000 lexicon/junk.kl
   4020/13040    194837 0.00000 lexicon/kjbible.kl
    567/5781     195404 0.00000 lexicon/l-carroll
    978/3903     196382 0.00000 lexicon/male-names.kl
    108/323      196490 0.00000 lexicon/misc
  11145/27142    207635 0.00000 lexicon/movie_characters
   2412/8321     210047 0.00000 lexicon/movie_titles
     57/132      210104 0.00000 lexicon/movies.kl
     10/63       210114 0.00000 lexicon/music
    792/1369     210906 0.00000 lexicon/myths-legends.kl
    231/527      211137 0.00000 lexicon/numbers.kl
   3497/5952     214634 0.00000 lexicon/other-names.kl
    505/1087     215139 0.00000 lexicon/phrases.kl
    101/724      215240 0.00000 lexicon/places.kl
   1107/21110    216347 0.00000 lexicon/pocket.dic
    636/1679     216983 0.00000 lexicon/rsk.dict
      7/21       216990 0.00000 lexicon/sequences
     24/776      217014 0.00000 lexicon/sf.kl
    884/2319     217898 0.00000 lexicon/shakesp-glossary
     88/210      217986 0.00000 lexicon/shakesp-names
    198/659      218184 0.00000 lexicon/shakespeare.kl
     73/268      218257 0.00000 lexicon/sports
      0/251      218257 0.00000 lexicon/sports.kl
      2/160      218259 0.00000 lexicon/surnames.kl
    332/1366     218591 0.00000 lexicon/ucsb-givenname
    944/2413     219535 0.00000 lexicon/ucsb-surname
 120426/235544   339961 0.00001 lexicon/unabrd.dic
   1542/1724     341503 0.00001 lexicon/unix
  92529/126017   434032 0.00010 lexicon/usenet_loginids
  23073/48348    457105 0.00016 lexicon/usenet_machines
  50156/121925   507261 0.00036 lexicon/usenet_names
     45/25331    507306 0.00036 lexicon/usr-dict-words
    825/2470     508131 0.00036 lexicon/uunet-sites
     92/710      508223 0.00036 lexicon/vu-frenchname
   1067/8884     509290 0.00037 lexicon/vu-givenname
  18978/44553    528268 0.00049 lexicon/vu-hpname
   4986/14233    533254 0.00052 lexicon/vu-surname
   1984/56940    535238 0.00054 lexicon/vu.dict
  27191/130795   562429 0.00078 lexicon/w130794
      8/234936   562437 0.00078 lexicon/webster
   1704/2455     564141 0.00080 lexicon/whatis
      0/453      564141 0.00080 lexicon/words.bad
     41/27069    564182 0.00080 lexicon/words.english
      0/432      564182 0.00080 lexicon/wormlist
     29/72       564211 0.00080 lexicon/yiddish.kl
  13839/24153    578050 0.00095 lexicon/zipcodes
